Community ID,flow0,flow1,flow2,flow3,flow4,flow5,flow6,flow7,flow8,flow9,flow10,flow11,flow12,flow13,flow14,flow15,flow16,flow17,flow18,flow19,flow20,flow21,flow22,flow23,flow24,flow25,flow26,flow27,flow28,flow29,flow30,flow31,flow32,flow33,flow34,flow35,flow36,flow37,flow38,flow39,flow40,flow41,flow42,flow43,flow44,flow45,flow46,flow47
173,0.0857,0.1825,0.2669,0.3511,0.4377,0.567,0.8315,1.381,2.1159,2.9323,3.8058,4.7637,5.6463,6.3393,7.0257,7.785,8.6475,9.6323,10.4123,11.0541,11.5865,12.0123,12.3206,12.455,12.546,12.6735,12.7711,12.8717,12.9643,13.1028,13.3549,13.9031,14.6108,15.3753,16.2139,17.143,17.8777,18.4763,19.1035,19.7905,20.56,21.4581,22.1946,22.8534,23.3704,23.7927,24.0996,24.2316
174,0.6715,1.1644,1.5416,1.8801,2.274,2.9582,4.6877,8.1847,12.4453,16.0237,18.8624,21.6896,24.6669,27.2761,29.6754,32.1113,34.6749,37.8275,41.7628,46.0858,49.6975,52.7296,54.8231,55.7328,56.1426,56.6256,57.022,57.3624,57.7187,58.3594,60.1115,63.6196,68.0709,71.8335,74.7138,77.5548,80.4102,82.9375,85.3005,87.8244,90.4316,93.6331,97.5505,101.9538,105.8763,108.915,111.0478,112.0054
175,1.8781,2.7709,3.4117,3.9806,4.6304,5.6633,7.9097,12.5203,18.0354,22.7938,26.8015,30.7224,34.476,38.023,41.5936,45.2998,49.1269,53.7728,58.6215,63.0809,66.8419,69.9194,72.2035,73.283,73.8951,74.6505,75.2511,75.7536,76.3247,77.2844,79.5439,84.0217,89.4477,94.078,98.0383,102.0055,105.6591,109.1429,112.6453,116.4312,120.3154,124.9023,129.7528,134.3863,138.3427,141.5416,143.9895,145.158
176,2.1585,2.96,3.6571,4.2734,4.9349,5.9774,8.1145,12.3214,17.4659,21.9276,25.8017,29.8476,33.8255,37.6078,41.2795,45.0146,48.9937,54.0805,59.1653,63.7291,67.5863,70.8531,73.212,74.3434,74.9626,76.1913,76.8351,77.3897,77.9549,78.9248,81.1226,85.2825,90.3251,94.6384,98.595,102.7847,106.6726,110.3487,113.9987,117.7302,121.6771,126.5942,131.7285,136.5241,140.6646,144.074,146.6061,147.817
177,0.3603,0.6996,0.9941,1.3001,1.6547,2.2857,3.679,6.2159,9.4923,12.3197,14.5938,16.8127,18.9032,20.8371,22.7013,24.5616,26.5476,28.8201,30.9761,33.1431,34.9038,36.3371,37.3898,37.8924,38.1866,38.7414,39.0743,39.3886,39.7203,40.353,41.8323,44.4211,47.7547,50.6112,52.8753,55.0484,57.0597,58.9298,60.8053,62.6509,64.706,67.0408,69.2972,71.5894,73.5191,75.0402,76.1891,76.743
178,2.1139,2.9545,3.6655,4.2677,4.9291,5.9005,7.7952,12.0327,17.6204,23.5384,29.5793,36.3751,43.9435,50.923,57.3534,63.9186,70.9968,79.6238,89.7617,99.2397,106.5053,112.5584,116.9282,118.682,119.397,120.7159,121.3922,122.0011,122.6327,123.5816,125.5192,129.6893,135.2775,141.1401,147.197,154.1225,161.5279,168.35,174.7377,181.4361,188.3923,196.8905,206.9683,216.7756,224.6443,230.8244,235.3717,237.1424
179,1.0019,1.9145,2.6465,3.331,4.0767,5.2957,7.9709,12.8084,19.1187,26.002,31.3635,36.0621,40.8991,45.1999,49.3712,53.5305,57.881,63.2195,69.6162,76.1906,81.7559,86.6869,90.3923,92.0408,92.8491,93.8765,94.6082,95.2677,95.9864,97.1848,99.9942,104.7863,110.9509,116.9245,121.7644,126.3305,131.0472,135.2427,139.3385,143.5156,147.8312,153.097,159.6784,166.8039,172.9319,177.8341,181.5546,183.2606
180,0.1064,0.2414,0.3615,0.4717,0.6287,1.0384,1.9526,3.796,5.5031,6.8635,8.0313,9.325,10.2929,11.3315,12.3768,13.4245,14.5777,16.1053,17.3898,18.7785,20.0092,20.9053,21.4198,21.6434,21.7381,21.8628,21.9698,22.0748,22.2347,22.6339,23.5524,25.389,27.0797,28.4314,29.6433,30.9255,31.8922,32.8947,33.9355,35.0128,36.1687,37.5602,38.8592,40.2073,41.4816,42.4225,43.024,43.2704
181,0.1719,0.455,0.7132,0.9615,1.3192,2.1213,3.3036,5.0017,6.5366,7.9423,9.2469,10.5555,11.6521,12.7988,14.0278,15.2587,16.6076,18.1569,19.5973,21.1337,22.3322,23.2229,23.8448,24.1564,24.3298,24.5938,24.8538,25.1231,25.5134,26.275,27.5147,29.172,30.6988,32.0541,33.3429,34.6711,35.7736,36.8955,38.1007,39.3572,40.6565,42.1913,43.7137,45.3616,46.7532,47.7196,48.4421,48.7758
182,0.014,0.032,0.0454,0.0614,0.0794,0.1244,0.2432,0.412,0.5778,0.7496,0.9544,1.195,1.5527,1.8521,2.099,2.3138,2.5512,2.7949,3.0746,3.3394,3.5344,3.6816,3.7617,3.7922,3.806,3.8248,3.8387,3.8513,3.8718,3.917,4.0445,4.2062,4.3827,4.5847,4.8056,5.0467,5.3446,5.604,5.8334,6.0359,6.2526,6.5054,6.8005,7.117,7.3573,7.5269,7.6375,7.6844
183,0.0021,0.005,0.0085,0.0116,0.0174,0.034,0.0809,0.1205,0.1606,0.21,0.2616,0.3099,0.3439,0.388,0.4234,0.4598,0.503,0.5392,0.5681,0.5948,0.6107,0.6221,0.6304,0.6328,0.6347,0.6381,0.6401,0.6424,0.6472,0.6633,0.7068,0.7451,0.7828,0.8267,0.8692,0.9194,0.9557,0.9958,1.044,1.0893,1.13,1.1709,1.2096,1.251,1.2741,1.2919,1.3017,1.3074
184,0.0313,0.0721,0.1129,0.1844,0.2322,0.3832,0.6201,0.996,1.3673,1.7895,2.2198,2.7052,3.0671,3.4533,3.8587,4.2553,4.6778,5.1487,5.5249,5.8908,6.1562,6.3254,6.4437,6.5094,6.5364,6.5769,6.6125,6.6657,6.7104,6.8454,7.1098,7.4907,7.8896,8.2878,8.7102,9.1756,9.5453,9.9298,10.2954,10.717,11.1399,11.5899,12.0069,12.4315,12.7987,13.0541,13.2385,13.324
185,0.0569,0.1248,0.1839,0.2379,0.3208,0.5284,0.9769,1.7712,2.4902,3.1612,3.8265,4.5083,5.0807,5.7158,6.3487,6.9484,7.6047,8.3467,8.9888,9.6597,10.2436,10.6399,10.9017,11.01,11.0636,11.1307,11.1935,11.2546,11.3374,11.5463,12.0091,12.8262,13.5492,14.2002,14.8306,15.5379,16.0955,16.7154,17.2933,17.8964,18.5127,19.2461,19.9423,20.6958,21.3985,21.9434,22.3053,22.454
186,0.1638,0.4042,0.5945,0.7533,1.0198,1.6911,3.08,5.3835,7.6478,9.753,11.77,13.8164,15.4116,17.1316,18.9023,20.6904,22.6308,24.9401,26.8984,28.8112,30.524,31.7858,32.5968,32.917,33.0764,33.2905,33.4726,33.6512,33.9242,34.5639,36.0092,38.3144,40.5474,42.6043,44.6392,46.7702,48.3308,49.9446,51.6661,53.4933,55.4008,57.6457,59.6387,61.5438,63.3569,64.6687,65.5318,65.9032
187,0.0385,0.0867,0.1282,0.1737,0.2424,0.4081,0.7255,1.254,1.7268,2.143,2.5292,2.9511,3.3388,3.691,4.0504,4.413,4.8083,5.2228,5.6031,5.9899,6.2879,6.5041,6.6312,6.6856,6.714,6.7571,6.7976,6.8344,6.8999,7.0547,7.3844,7.9416,8.39,8.8033,9.1807,9.5997,9.9517,10.2823,10.5927,10.9139,11.2636,11.663,12.0665,12.5094,12.8584,13.103,13.2614,13.339
188,0.0028,0.0056,0.0081,0.0105,0.0148,0.0242,0.0478,0.0773,0.1123,0.1483,0.1855,0.2235,0.2506,0.2886,0.3249,0.3555,0.3849,0.4109,0.4255,0.449,0.4648,0.4773,0.4842,0.4876,0.489,0.4921,0.4942,0.4961,0.4992,0.5084,0.5324,0.5571,0.5918,0.6273,0.6611,0.7007,0.7265,0.7562,0.7946,0.8289,0.8561,0.884,0.9052,0.9279,0.9444,0.954,0.9625,0.9664
