Community ID,hci0,hci1,hci2,hci3,hci4,hci5,hci6,hci7,hci8,hci9,hci10,hci11,hci12,hci13,hci14,hci15,hci16,hci17,hci18,hci19,hci20,hci21,hci22,hci23,hci24,hci25,hci26,hci27,hci28,hci29,hci30,hci31,hci32,hci33,hci34,hci35,hci36,hci37,hci38,hci39,hci40,hci41,hci42,hci43,hci44,hci45,hci46,hci47,hci48,hci49
295,63,73.79037783,87.08844174,103.6173951,124.3494667,150.6059099,184.2030907,227.6687663,284.5668378,359.9923562,461.3382062,599.5029879,790.8289665,1060.27254,1446.700585,2011.938944,2856.609187,4148.57825,6175.527383,9445.103383,14882.16825,24231.62297,40914.32314,71926.60572,132262.9168,255773.7036,523439.985,1142006.662,2679414.471,6830918.645,19159505.8,60019148.46,213885854.2,887005799.9,4404075956,27138592158,2.17E+11,2.40E+12,3.98E+13,1.10E+15,5.93E+16,7.79E+18,3.47E+21,8.88E+24,3.12E+29,7.27E+35,2.60E+45,2.20E+61,1.59E+93,6.20E+188
296,41,46.14767078,52.24109021,59.50224935,68.21647474,78.75375992,91.59841588,107.3907459,126.9863158,151.5413113,182.6371107,222.4646864,274.101729,341.9358996,432.3225451,554.6259,722.9005644,958.6659587,1295.59161,1787.610451,2523.356281,3652.628166,5436.496662,8345.596099,13260.60523,21899.12269,37768.95343,68412.92149,131018.1356,267399.7351,587167.2683,1403263.37,3701775.692,10968079.88,37303142.49,149698531.2,734391555.6,4613056791,39465534621,5.00E+11,1.06E+13,4.41E+14,4.70E+16,1.91E+19,5.77E+22,4.33E+27,8.95E+34,1.41E+47,3.51E+71,5.62E+144
297,61,70.38464424,81.80294784,95.80778804,113.1327015,134.7610321,162.0255506,196.7538182,241.4831891,299.7834263,376.7482633,479.7567165,619.6729166,812.7726523,1083.899247,1471.745406,2037.89982,2882.732985,4174.054487,6200.341594,9472.795878,14927.90863,24345.02405,41243.57969,72901.23923,135128.5347,264217.1194,548771.3414,1220679.307,2936522.457,7729956.188,22583686.76,74510651.91,283629535.3,1279452096,7075667518,50109719982,4.81E+11,6.76E+12,1.54E+14,6.59E+15,6.52E+17,2.04E+20,3.33E+23,6.42E+27,6.46E+33,6.58E+42,6.87E+57,7.62E+87,1.07E+178
298,53,60.51557713,69.52884721,80.41580368,93.66625668,109.9242905,130.0453108,155.1774304,186.8790243,227.2907789,279.3910455,347.380526,437.2710907,557.8025072,721.8959258,949.0038782,1268.990444,1728.684664,2403.223028,3416.207715,4976.577897,7448.19647,11485.75094,18310.30409,30291.5184,52235.17836,94377.84877,179755.1807,363510.0028,787205.821,1844391.991,4733749.351,13512544.85,43711213.61,164040971.7,735715819.3,4096800406,29773933260,3.02E+11,4.67E+12,1.26E+14,7.03E+15,1.08E+18,7.01E+20,3.96E+24,7.14E+29,5.49E+37,7.70E+50,1.53E+77,1.24E+156
299,59,68.61494631,80.38417005,94.91002431,112.9967562,135.72965,164.5898564,201.623197,249.6917918,312.8547376,396.9531655,510.5246397,666.2581744,883.3544017,1191.433654,1637.151975,2295.671495,3291.064994,4833.637274,7290.279307,11321.51517,18158.18869,30182.37287,52200.55871,94369.44041,179280.9515,360147.4774,770611.3668,1771492.863,4420222.425,12119668.62,37063281.86,128737037.6,519430190.8,2503861860,14941666129,1.16E+11,1.23E+12,1.95E+13,5.13E+14,2.61E+16,3.20E+18,1.32E+21,3.04E+24,9.37E+28,1.82E+35,5.00E+44,2.74E+60,8.41E+91,2.55E+186
300,63,73.10428674,85.45553702,100.6765382,119.5967673,143.3325371,173.402856,211.8990799,261.7367275,327.0346925,413.6951513,530.3050342,689.5621049,910.5735594,1222.636033,1671.587075,2330.727616,3320.080375,4841.27608,7242.62702,11144.43422,17688.79841,29056.89077,49585.54474,88290.5508,164865.0861,324764.1392,679593.5192,1523133.634,3692154.632,9794220.062,28838723.08,95904197.51,368017306.5,1673826305,9334942840,66685858213,6.46E+11,9.16E+12,2.11E+14,9.11E+15,9.12E+17,2.90E+20,4.79E+23,9.41E+27,9.68E+33,1.02E+43,1.11E+58,1.35E+88,2.44E+178
301,63,74.12652532,87.89154766,105.0679238,126.6981559,154.2039382,189.5467321,235.4663211,295.8403031,376.2340969,484.7561176,633.4105081,840.2766059,1133.090154,1555.253208,2176.150933,3109.299048,4545.116948,6811.823278,10492.13412,16654.53663,27328.72731,46522.95099,82498.80571,153110.4576,299026.8784,618486.8533,1364939.774,3242632.38,8380167.517,23859528.21,75991127.65,275847117.6,1167884393,5935858392,37565226877,3.10E+11,3.56E+12,6.14E+13,1.78E+15,1.02E+17,1.44E+19,7.06E+21,2.04E+25,8.41E+29,2.46E+36,1.24E+46,1.85E+62,4.22E+94,5.15E+191
302,58,66.42500243,76.56397666,88.85516719,103.8717263,122.3704284,145.3606599,174.2032919,210.7541729,257.5751852,318.2491221,397.8566329,503.71043,646.5052371,842.152551,1114.766794,1501.630381,2061.641476,2890.049467,4144.860256,6095.558608,9215.921035,14367.08339,23172.67933,38820.53241,67857.2376,124417.3326,240777.7559,495443.8939,1093490.932,2616004.685,6870441.293,20118727.66,66960823.48,259456097.4,1206498029,7001264484,53358290338,5.72E+11,9.45E+12,2.75E+14,1.69E+16,2.93E+18,2.22E+21,1.54E+25,3.68E+30,4.33E+38,1.24E+52,1.02E+79,5.93E+159
303,60,68.70167061,79.18251759,91.90072534,107.4566726,126.6447244,150.5267759,180.5379499,218.6404585,267.5506403,331.0788459,414.646156,526.0829416,676.8848634,884.2258617,1174.250186,1587.574373,2188.700543,3082.534226,4444.174031,6574.26029,10005.20121,15712.39762,25550.88969,43197.42144,76281.22244,141462.6582,277265.8391,578695.5741,1297760.758,3160817.77,8470661.368,25377979.12,86686802.91,345997630.4,1664677755,10048416731,80185289089,9.07E+11,1.60E+13,5.02E+14,3.41E+16,6.65E+18,5.89E+21,5.03E+25,1.62E+31,2.97E+39,1.77E+53,6.44E+80,3.17E+163
304,55,62.8114008,72.19092704,83.53626101,97.3668781,114.3678905,135.4521109,161.8489661,195.2335,237.9160861,293.1254464,365.4373714,461.4348347,590.7422804,767.6767533,1013.937177,1363.08009,1868.143937,2614.967598,3746.098512,5504.999395,8320.466131,12973.61526,20941.21487,35132.24227,61544.03312,113185.3312,219924.8783,454878.1607,1010481.944,2436832.456,6462727.211,19150438.26,64656480.29,254880843.6,1210060193,7199742902,56556633818,6.29E+11,1.09E+13,3.34E+14,2.21E+16,4.18E+18,3.56E+21,2.90E+25,8.74E+30,1.46E+39,7.48E+52,2.01E+80,4.04E+162
